DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD,RESM,SP
M,IN,IN,G/C3,G/C3,US/F,GAPI,V/V,OHMM,OHMM,MV
22.86,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.0124,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.1648,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.3172,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.4696,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.622,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.7744,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.9268,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.0792,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.2316,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.384,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.5364,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.6888,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.8412,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.9936,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.146,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.2984,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.4508,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.6032,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.7556,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.908,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.0604,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.2128,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.3652,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.5176,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.67,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.8224,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
26.9748,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
27.1272,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
27.2796,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
27.432,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
27.5844,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
27.7368,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
27.8892,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.0416,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.194,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.3464,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.4988,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.6512,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.8036,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
28.956,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
29.1084,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
29.2608,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
29.4132,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
29.5656,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
29.718,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
29.8704,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.0228,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.1752,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.3276,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.48,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.6324,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.7848,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.9372,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.0896,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.242,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.3944,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.5468,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.6992,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.8516,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.004,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.1564,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.3088,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.4612,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.6136,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.766,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.9184,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.0708,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.2232,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.3756,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.528,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.6804,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.8328,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
33.9852,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.1376,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.29,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.4424,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.5948,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.7472,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.8996,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.052,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.2044,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.3568,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.5092,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.6616,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.814,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
35.9664,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.1188,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.2712,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.4236,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.576,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.7284,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.8808,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.0332,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.1856,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.338,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.4904,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.6428,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.7952,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.9476,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.1,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.2524,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.4048,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.5572,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.7096,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.862,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.0144,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.1668,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.3192,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.4716,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.624,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.7764,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.9288,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.0812,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.2336,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.386,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.5384,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.6908,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.8432,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.9956,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.148,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.3004,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.4528,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.6052,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.7576,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.91,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.0624,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.2148,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.3672,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.5196,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.672,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.8244,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.9768,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.1292,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.2816,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.434,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.5864,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.7388,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.8912,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.0436,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.196,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.3484,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.5008,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.6532,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.8056,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.958,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.1104,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.2628,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.4152,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.5676,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.72,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.8724,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.0248,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
